flow_id,ip_proto,ndpi_app,ndpi_category,ndpi_client_info,ndpi_server_info,ndpi_j3ac,ndpi_j3as,client_bulk0,client_packet0,client_bulk1,client_packet1,client_bulk_max,client_packet_max,client_bulk_min,client_packet_min,client_bulk_avg,client_packet_avg,client_bulk_median,client_packet_median,client_bulk_25q,client_packet_25q,client_bulk_75q,client_packet_75q,client_bulk_sum,client_packet_sum,client_bulk_number,client_packet_number,client_tcp_window_avg,client_found_tcp_flags,server_bulk0,server_packet0,server_bulk1,server_packet1,server_bulk_max,server_packet_max,server_bulk_min,server_packet_min,server_bulk_avg,server_packet_avg,server_bulk_median,server_packet_median,server_bulk_25q,server_packet_25q,server_bulk_75q,server_packet_75q,server_bulk_sum,server_packet_sum,server_bulk_number,server_packet_number,server_tcp_window_avg,server_found_tcp_flags
TCP 192.168.0.105:33482 68.232.34.200:443,TCP,TLS,Web,,,,,0.0,40,135.0,175,139.0,179,0.0,40,66.46153846153847,106.46153846153847,46.0,86.0,0.0,40.0,135.0,175.0,864.0,1384,7,13,1452.0,"[16.0, 24.0]",0.0,40,162.0,202,162.0,202,0.0,40,88.85714285714286,128.85714285714286,138.0,178.0,23.0,63.0,138.0,178.0,622.0,902,5,7,296.0,"[16.0, 24.0]"
UDP 192.168.0.102:18826 192.168.0.105:26454,UDP,STUN.SkypeCall,VoIP,,,,,104.0,132,72.0,100,104.0,132,72.0,100,88.66666666666667,116.66666666666667,90.0,118.0,81.0,109.0,97.0,125.0,266.0,350,3,3,0.0,[0.0],72.0,100,104.0,132,146.0,174,42.0,70,76.0,104.0,68.0,96.0,57.0,85.0,98.0,126.0,1292.0,1768,17,17,0.0,[0.0]
TCP 192.168.0.105:37298 52.114.74.11:443,TCP,TLS.Skype,VoIP,,c-broker-euwe-01.broker.skype.com,49a341a21f4fd4ac63b027ff2b1a331f,364ff14b04ef93c3b4cfa429d729c0d9,0.0,60,0.0,52,656.0,708,0.0,52,231.7,284.5,63.0,119.0,0.0,52.0,547.75,599.75,2317.0,2845,5,10,3173.0,"[2.0, 16.0, 24.0]",0.0,60,1428.0,1480,1428.0,1480,0.0,52,484.0,536.8,317.0,369.0,0.0,54.0,720.5,772.5,4840.0,5368,6,10,1741.6,"[16.0, 18.0, 24.0]"
TCP 192.168.0.105:54634 52.178.207.179:443,TCP,TLS,Web,,,,,0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,364.0,[16.0],0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,513.0,[16.0]
TCP 192.168.0.105:40066 52.162.166.27:443,TCP,TLS,Web,,,,,0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,364.0,[16.0],0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,513.0,[16.0]
UDP 192.168.0.1:35172 239.255.255.250:1900,UDP,SSDP,System,,,,,265.0,293,274.0,302,345.0,373,265.0,293,304.85,332.85,320.0,348.0,274.0,302.0,330.0,358.0,6097.0,6657,20,20,0.0,[0.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCP 192.168.0.105:50842 13.107.3.128:443,TCP,TLS.Skype,VoIP,,,,,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40.0,0.0,40.0,0.0,40.0,0.0,40.0,0.0,80,0,2,980.0,[16.0],0.0,40,0.0,40,0.0,40,0.0,40,0.0,40.0,0.0,40.0,0.0,40.0,0.0,40.0,0.0,80,0,2,1023.0,[16.0]
TCP 192.168.0.105:49876 52.233.131.90:443,TCP,TLS,Web,,,,,0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,341.0,[16.0],0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,1022.0,[16.0]
TCP 192.168.0.105:48328 13.93.149.41:443,TCP,TLS.Microsoft,Cloud,,,,,0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,364.0,[16.0],0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,1026.0,[16.0]
TCP 192.168.0.105:32828 13.91.45.229:443,TCP,TLS.Microsoft,Cloud,,,,,0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,432.0,[16.0],0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,1022.0,[16.0]
